,name,count,probability,cumulative_probability
3286,KASPER,10005,6.73921710612548e-05,6.73921710612548e-05
3285,ZELLER,10006,6.739890691043632e-05,0.0001347910779716911
3284,SKIPPER,10010,6.742585030716246e-05,0.00020221692827885357
3283,CARBONE,10012,6.743932200552554e-05,0.0002696562502843791
3282,LAFFERTY,10014,6.745279370388861e-05,0.0003371090439882677
3281,VICTOR,10015,6.745952955307014e-05,0.00040456857354133786
3280,BETZ,10017,6.747300125143321e-05,0.0004720415747927711
3279,WAYNE,10020,6.749320879897782e-05,0.0005395347835917489
3277,NOLEN,10021,6.749994464815935e-05,0.0006070347282399083
3278,TURK,10021,6.749994464815935e-05,0.0006745346728880676
3276,LAYMAN,10021,6.749994464815935e-05,0.0007420346175362269
3275,SNEAD,10022,6.750668049734089e-05,0.0008095412980335679
3274,HIGGS,10026,6.753362389406703e-05,0.0008770749219276349
3273,NOLL,10030,6.756056729079317e-05,0.000944635489218428
3272,ANDRES,10034,6.75875106875193e-05,0.0010122229999059472
3271,BOUDREAU,10037,6.76077182350639e-05,0.0010798307181410112
3270,ETHERIDGE,10041,6.763466163179004e-05,0.0011474653797728012
3269,VAIL,10042,6.764139748097158e-05,0.0012151067772537727
3268,BURGE,10043,6.764813333015311e-05,0.0012827549105839259
3267,MCCLANAHAN,10047,6.767507672687925e-05,0.0013504299873108052
3266,LILES,10052,6.770875597278693e-05,0.001418138743283592
3265,SAMSON,10053,6.771549182196846e-05,0.0014858542351055604
3264,LINDLEY,10053,6.771549182196846e-05,0.001553569726927529
3263,APODACA,10054,6.772222767115e-05,0.001621291954598679
3262,FUGATE,10055,6.772896352033153e-05,0.0016890209181190103
3261,LOGSDON,10057,6.77424352186946e-05,0.001756763353337705
3260,FABER,10061,6.776937861542073e-05,0.0018245327319531257
3259,CULPEPPER,10061,6.776937861542073e-05,0.0018923021105685465
3258,WESTMORELAND,10066,6.780305786132841e-05,0.001960105168429875
3257,OSHEA,10066,6.780305786132841e-05,0.0020279082262912034
3256,SIKES,10068,6.781652955969148e-05,0.0020957247558508947
3255,TEJEDA,10071,6.783673710723608e-05,0.0021635614929581305
3254,ASHWORTH,10079,6.789062390068836e-05,0.0022314521168588187
3253,COLWELL,10081,6.790409559905144e-05,0.00229935621245787
3252,KINDER,10083,6.791756729741451e-05,0.0023672737797552847
3251,JUDGE,10091,6.797145409086679e-05,0.0024352452338461516
3250,MOTA,10094,6.799166163841138e-05,0.002503236895484563
3249,HIATT,10096,6.800513333677445e-05,0.0025712420288213373
3248,RAND,10097,6.8011869185956e-05,0.0026392538980072934
3247,VALERIO,10098,6.801860503513752e-05,0.0027072725030424308
3246,TURLEY,10102,6.804554843186366e-05,0.0027753180514742946
3245,ENG,10102,6.804554843186366e-05,0.0028433635999061584
3244,DORN,10107,6.807922767777134e-05,0.0029114428275839295
3243,EVERHART,10118,6.815332201876821e-05,0.0029795961496026976
3242,SHORE,10120,6.816679371713128e-05,0.003047762943319829
3241,COSBY,10121,6.817352956631282e-05,0.0031159364728861414
3240,CRIST,10122,6.818026541549435e-05,0.003184116738301636
3239,PARRY,10130,6.823415220894663e-05,0.0032523508905105826
3238,HANLON,10138,6.82880390023989e-05,0.0033206389295129817
3237,GRANTHAM,10139,6.829477485158045e-05,0.003388933704364562
3236,CAPUTO,10141,6.830824654994352e-05,0.0034572419509145058
3235,GARAY,10142,6.831498239912504e-05,0.003525556933313631
3234,CULBERTSON,10147,6.834866164503272e-05,0.0035939055949586636
3233,VENABLE,10150,6.836886919257732e-05,0.003662274464151241
3232,SOLORZANO,10151,6.837560504175886e-05,0.0037306500691929997
3231,JAIME,10151,6.837560504175886e-05,0.0037990256742347584
3230,BRODERICK,10154,6.839581258930347e-05,0.0038674214868240618
3229,CINTRON,10158,6.842275598602961e-05,0.0039358442428100915
3227,BEHRENS,10159,6.842949183521114e-05,0.004004273734645303
3228,STOLTZFUS,10159,6.842949183521114e-05,0.0040727032264805145
3226,WINDHAM,10162,6.844969938275575e-05,0.00414115292586327
3225,GATLIN,10162,6.844969938275575e-05,0.004209602625246026
3224,LINDBERG,10163,6.845643523193728e-05,0.004278059060477963
3223,GAYTAN,10164,6.846317108111882e-05,0.004346522231559081
3222,NEWKIRK,10165,6.846990693030035e-05,0.004414992138489382
3221,PULLEN,10167,6.848337862866342e-05,0.004483475517118045
3220,ESTRELLA,10167,6.848337862866342e-05,0.004551958895746709
3219,ROLDAN,10168,6.849011447784496e-05,0.004620449010224553
3218,INGLE,10169,6.849685032702649e-05,0.00468894586055158
3217,MEADOR,10174,6.853052957293417e-05,0.0047574763901245135
3216,HORAN,10182,6.858441636638644e-05,0.0048260608064909
3215,BURKHOLDER,10182,6.858441636638644e-05,0.004894645222857287
3214,CENTENO,10188,6.862483146147565e-05,0.004963270054318763
3213,VILLASENOR,10190,6.863830315983872e-05,0.005031908357478601
3212,FLANNERY,10198,6.8692189953291e-05,0.005100600547431893
3211,WINCHESTER,10199,6.869892580247252e-05,0.005169299473234365
3210,MORTENSEN,10208,6.875954844510634e-05,0.005238059021679471
3209,WILDE,10210,6.877302014346941e-05,0.005306832041822941
3208,SEVERSON,10214,6.879996354019555e-05,0.005375632005363136
3207,LERMA,10235,6.894141637300778e-05,0.005444573421736144
3206,RATCLIFF,10237,6.895488807137085e-05,0.005513528309807515
3205,CHAPIN,10242,6.898856731727852e-05,0.005582516877124794
3204,MCMILLEN,10244,6.900203901564159e-05,0.0056515189161404356
3203,ALICEA,10246,6.901551071400466e-05,0.00572053442685444
3202,FREITAS,10250,6.90424541107308e-05,0.005789576880965171
3201,GAITHER,10255,6.907613335663848e-05,0.0058586530143218095
3200,LENNON,10265,6.914349184845382e-05,0.005927796506170264
3199,ANTONIO,10267,6.915696354681689e-05,0.0059969534697170805
3198,GLASER,10271,6.918390694354303e-05,0.006066137376660624
3197,ACKER,10273,6.91973786419061e-05,0.00613533475530253
3196,FARROW,10282,6.92580012845399e-05,0.00620459275658707
3195,BORGES,10282,6.92580012845399e-05,0.00627385075787161
3194,CONTI,10284,6.927147298290297e-05,0.006343122230854513
3193,SAGER,10285,6.927820883208452e-05,0.006412400439686597
3192,POSTON,10292,6.932535977635526e-05,0.006481725799462953
3191,COMSTOCK,10298,6.936577487144447e-05,0.006551091574334398
3190,STEPP,10303,6.939945411735214e-05,0.00662049102845175
3189,BOX,10320,6.951396355343823e-05,0.006690004992005188
3188,KITCHENS,10321,6.952069940261976e-05,0.006759525691407808
3187,ZHAO,10324,6.954090695016437e-05,0.0068290665983579725
3186,HARDWICK,10324,6.954090695016437e-05,0.006898607505308137
3185,HEALEY,10327,6.956111449770897e-05,0.006968168619805846
3184,CARDOZA,10335,6.961500129116125e-05,0.007037783621097007
3183,BEAULIEU,10336,6.962173714034279e-05,0.007107405358237349
3182,GOODEN,10338,6.963520883870586e-05,0.007177040567076055
3181,KEMPER,10339,6.964194468788738e-05,0.007246682511763943
3180,PHELAN,10343,6.966888808461352e-05,0.007316351399848557
3179,BRANT,10355,6.974971827479194e-05,0.007386101118123349
3178,LEMKE,10359,6.977666167151808e-05,0.007455877779794867
3177,KOZLOWSKI,10363,6.980360506824423e-05,0.007525681384863111
3176,MARR,10365,6.98170767666073e-05,0.007595498461629719
3175,KOONTZ,10373,6.987096356005958e-05,0.007665369425189778
3173,LIBBY,10375,6.988443525842264e-05,0.007735253860448201
3174,MARVIN,10375,6.988443525842264e-05,0.007805138295706623
3171,GUPTA,10376,6.989117110760417e-05,0.007875029466814227
3172,MALIK,10376,6.989117110760417e-05,0.007944920637921831
3170,LANEY,10386,6.995852959941952e-05,0.008014879167521251
3169,VALLES,10388,6.997200129778259e-05,0.008084851168819034
3168,SEIFERT,10395,7.001915224205334e-05,0.008154870321061087
